Trade_Date,Entry_Time,Exit_Time,Session,Strategy,Type,Entry_Price,Exit_Price,PnL_pts,Duration,Exit_Reason
2026-02-04,2026-02-05 07:03:00-05:00,2026-02-05 07:04:00-05:00,London,Trend A,LONG,25044.5,25051.0,6.5,0 days 00:01:00,Trend Invalidation
2026-02-05,2026-02-05 18:29:00-05:00,2026-02-05 18:33:00-05:00,Asia,Trend A,LONG,24425.75,24401.5,-24.25,0 days 00:04:00,Trend Invalidation
2026-02-05,2026-02-05 19:25:00-05:00,2026-02-05 19:26:00-05:00,Asia,Trend A,LONG,24359.75,24358.5,-1.25,0 days 00:01:00,Trend Invalidation
2026-02-05,2026-02-05 19:30:00-05:00,2026-02-05 19:31:00-05:00,Asia,Trend A,LONG,24382.0,24367.25,-14.75,0 days 00:01:00,Trend Invalidation
2026-02-05,2026-02-05 19:34:00-05:00,2026-02-05 19:40:00-05:00,Asia,Trend A,LONG,24378.5,24367.75,-10.75,0 days 00:06:00,Trend Invalidation
2026-02-05,2026-02-05 19:41:00-05:00,2026-02-05 19:45:00-05:00,Asia,Trend A,SHORT,24360.5,24373.75,-13.25,0 days 00:04:00,Trend Invalidation
2026-02-05,2026-02-05 19:47:00-05:00,2026-02-05 19:53:00-05:00,Asia,Trend A,SHORT,24357.5,24371.75,-14.25,0 days 00:06:00,Trend Invalidation
2026-02-05,2026-02-05 19:55:00-05:00,2026-02-05 20:03:00-05:00,Asia,Trend A,LONG,24377.25,24435.5,58.25,0 days 00:08:00,Target (VAH)
2026-02-05,2026-02-05 20:10:00-05:00,2026-02-05 20:14:00-05:00,Asia,Trend A,SHORT,24398.25,24377.75,20.5,0 days 00:04:00,Trend Invalidation
2026-02-05,2026-02-05 20:16:00-05:00,2026-02-05 20:17:00-05:00,Asia,Trend A,SHORT,24370.75,24386.75,-16.0,0 days 00:01:00,Trend Invalidation
2026-02-05,2026-02-05 20:18:00-05:00,2026-02-05 20:23:00-05:00,Asia,Trend A,SHORT,24370.25,24368.25,2.0,0 days 00:05:00,Trend Invalidation
2026-02-05,2026-02-05 20:31:00-05:00,2026-02-05 20:38:00-05:00,Asia,Trend A,LONG,24379.25,24437.0,57.75,0 days 00:07:00,Target (VAH)
2026-02-05,2026-02-06 00:34:00-05:00,2026-02-06 00:37:00-05:00,Asia,Trend A,LONG,24525.75,24555.0,29.25,0 days 00:03:00,Target (VAH)
2026-02-05,2026-02-06 02:03:00-05:00,2026-02-06 02:05:00-05:00,Asia,Trend A,SHORT,24515.5,24523.75,-8.25,0 days 00:02:00,Trend Invalidation
2026-02-05,2026-02-06 02:08:00-05:00,2026-02-06 02:10:00-05:00,Asia,Trend A,LONG,24528.5,24518.0,-10.5,0 days 00:02:00,Trend Invalidation
2026-02-05,2026-02-06 02:14:00-05:00,2026-02-06 02:32:00-05:00,Asia,Trend A,LONG,24528.0,24566.75,38.75,0 days 00:18:00,Trend Invalidation
2026-02-05,2026-02-06 03:02:00-05:00,2026-02-06 03:04:00-05:00,London,Trend A,SHORT,24495.5,24521.5,-26.0,0 days 00:02:00,Trend Invalidation
2026-02-08,2026-02-08 19:46:00-05:00,2026-02-08 19:49:00-05:00,Asia,Trend A,SHORT,25288.5,25275.25,13.25,0 days 00:03:00,Trend Invalidation
2026-02-08,2026-02-08 20:09:00-05:00,2026-02-08 20:13:00-05:00,Asia,Trend A,LONG,25261.25,25250.0,-11.25,0 days 00:04:00,Trend Invalidation
2026-02-08,2026-02-08 20:32:00-05:00,2026-02-08 20:34:00-05:00,Asia,Trend A,LONG,25259.5,25249.5,-10.0,0 days 00:02:00,Trend Invalidation
2026-02-08,2026-02-08 21:08:00-05:00,2026-02-08 21:12:00-05:00,Asia,Trend A,LONG,25238.0,25228.75,-9.25,0 days 00:04:00,Trend Invalidation
2026-02-08,2026-02-08 21:31:00-05:00,2026-02-08 21:39:00-05:00,Asia,Trend A,LONG,25240.75,25250.5,9.75,0 days 00:08:00,Trend Invalidation
2026-02-08,2026-02-08 21:56:00-05:00,2026-02-08 22:00:00-05:00,Asia,Trend A,SHORT,25236.75,25239.75,-3.0,0 days 00:04:00,Trend Invalidation
2026-02-08,2026-02-08 22:01:00-05:00,2026-02-08 22:02:00-05:00,Asia,Trend A,SHORT,25229.75,25233.5,-3.75,0 days 00:01:00,Trend Invalidation
2026-02-08,2026-02-08 22:16:00-05:00,2026-02-08 22:17:00-05:00,Asia,Trend A,LONG,25232.5,25231.75,-0.75,0 days 00:01:00,Trend Invalidation
2026-02-08,2026-02-09 00:35:00-05:00,2026-02-09 00:38:00-05:00,Asia,Trend A,LONG,25222.25,25215.5,-6.75,0 days 00:03:00,Trend Invalidation
